year,month,day,date,consumption
2012,4,1,2012-04-01,13.755
2012,4,2,2012-04-02,38.707
2012,4,3,2012-04-03,29.845
2012,4,4,2012-04-04,39.545
2012,4,5,2012-04-05,36.128
2012,4,6,2012-04-06,34.057
2012,4,7,2012-04-07,30.707
2012,4,8,2012-04-08,27.106
2012,4,9,2012-04-09,22.386
2012,4,10,2012-04-10,23.934
2012,4,11,2012-04-11,27.49
2012,4,12,2012-04-12,32.828
2012,4,13,2012-04-13,25.282
2012,4,14,2012-04-14,29.823
2012,4,15,2012-04-15,27.132
2012,4,16,2012-04-16,31.941
2012,4,17,2012-04-17,28.932
2012,4,18,2012-04-18,32.558
2012,4,19,2012-04-19,36.063
2012,4,20,2012-04-20,30.061
2012,4,21,2012-04-21,24.739
2012,4,22,2012-04-22,25.84
2012,4,23,2012-04-23,27.726
2012,4,24,2012-04-24,27.808
2012,4,25,2012-04-25,25.981
2012,4,26,2012-04-26,29.149
2012,4,27,2012-04-27,30.156
2012,4,28,2012-04-28,24.413
2012,4,29,2012-04-29,34.135
2012,4,30,2012-04-30,23.202
2012,5,1,2012-05-01,40.922
2012,5,2,2012-05-02,25.08
2012,5,3,2012-05-03,25.914
2012,5,4,2012-05-04,27.217
2012,5,5,2012-05-05,25.252
2012,5,6,2012-05-06,25.342
2012,5,7,2012-05-07,20.181
2012,5,8,2012-05-08,20.447
2012,5,9,2012-05-09,29.07
2012,5,10,2012-05-10,30.782
2012,5,11,2012-05-11,29.126
2012,5,12,2012-05-12,21.794
2012,5,13,2012-05-13,20.648
2012,5,14,2012-05-14,21.984
2012,5,15,2012-05-15,20.956
2012,5,16,2012-05-16,24.398
2012,5,17,2012-05-17,23.664
2012,5,18,2012-05-18,26.281
2012,5,19,2012-05-19,24.454
2012,5,20,2012-05-20,22.234
2012,5,21,2012-05-21,29.701
2012,5,22,2012-05-22,29.829
2012,5,23,2012-05-23,26.371
2012,5,24,2012-05-24,31.032
2012,5,25,2012-05-25,28.889
2012,5,26,2012-05-26,28.879
2012,5,27,2012-05-27,24.234
2012,5,28,2012-05-28,28.033
2012,5,29,2012-05-29,19.884
2012,5,30,2012-05-30,28.768
2012,5,31,2012-05-31,23.567
2012,6,1,2012-06-01,22.425
2012,6,2,2012-06-02,21.53
2012,6,3,2012-06-03,23.714
2012,6,4,2012-06-04,30.568
2012,6,5,2012-06-05,22.756
2012,6,6,2012-06-06,27.629
2012,6,7,2012-06-07,28.27
2012,6,8,2012-06-08,25.39
2012,6,9,2012-06-09,31.266
2012,6,10,2012-06-10,23.762
2012,6,11,2012-06-11,18.178
2012,6,12,2012-06-12,17.708
2012,6,13,2012-06-13,19.679
2012,6,14,2012-06-14,19.868
2012,6,15,2012-06-15,21.692
2012,6,16,2012-06-16,18.406
2012,6,17,2012-06-17,18.455
2012,6,18,2012-06-18,20.178
2012,6,19,2012-06-19,27.291
2012,6,20,2012-06-20,25.122
2012,6,21,2012-06-21,22.235
2012,6,22,2012-06-22,22.1
2012,6,23,2012-06-23,28.606
2012,6,24,2012-06-24,21.264
2012,6,25,2012-06-25,24.135
2012,6,26,2012-06-26,19.821
2012,6,27,2012-06-27,32.181
2012,6,28,2012-06-28,24.913
2012,6,29,2012-06-29,29.846
2012,6,30,2012-06-30,19.663
2012,7,1,2012-07-01,33.058
2012,7,2,2012-07-02,20.076
2012,7,3,2012-07-03,26.9
2012,7,4,2012-07-04,23.295
2012,7,5,2012-07-05,22.435
2012,7,6,2012-07-06,23.845
2012,7,7,2012-07-07,23.853
2012,7,8,2012-07-08,17.117
2012,7,9,2012-07-09,22.441
2012,7,10,2012-07-10,30.649
2012,7,11,2012-07-11,20.258
2012,7,12,2012-07-12,20.551
2012,7,13,2012-07-13,23.573
2012,7,14,2012-07-14,27.682
2012,7,15,2012-07-15,30.092
2012,7,16,2012-07-16,24.135
2012,7,17,2012-07-17,22.919
2012,7,18,2012-07-18,21.026
2012,7,19,2012-07-19,24.809
2012,7,20,2012-07-20,25.46
2012,7,21,2012-07-21,26.562
2012,7,22,2012-07-22,23.713
2012,7,23,2012-07-23,23.631
2012,7,24,2012-07-24,22.22
2012,7,25,2012-07-25,20.444
2012,7,26,2012-07-26,27.32
2012,7,27,2012-07-27,23.883
2012,7,28,2012-07-28,20.738
2012,7,29,2012-07-29,22.001
2012,7,30,2012-07-30,21.657
2012,7,31,2012-07-31,26.396
2012,8,1,2012-08-01,23.271
2012,8,2,2012-08-02,24.12
2012,8,3,2012-08-03,27.545
2012,8,4,2012-08-04,22.789
2012,8,5,2012-08-05,29.771
