year,month,day,date,hour,consumption
2012,4,1,2012-04-01,15,1.676
2012,4,1,2012-04-01,16,1.323
2012,4,1,2012-04-01,17,1.367
2012,4,1,2012-04-01,18,1.356
2012,4,1,2012-04-01,19,1.513
2012,4,1,2012-04-01,20,1.549
2012,4,1,2012-04-01,21,1.429
2012,4,1,2012-04-01,22,1.428
2012,4,1,2012-04-01,23,2.114
2012,4,2,2012-04-02,0,1.331
2012,4,2,2012-04-02,1,1.42
2012,4,2,2012-04-02,2,1.308
2012,4,2,2012-04-02,3,1.567
2012,4,2,2012-04-02,4,0.957
2012,4,2,2012-04-02,5,1.701
2012,4,2,2012-04-02,6,1.565
2012,4,2,2012-04-02,7,1.251
2012,4,2,2012-04-02,8,1.781
2012,4,2,2012-04-02,9,1.322
2012,4,2,2012-04-02,10,4.831
2012,4,2,2012-04-02,11,2.248
2012,4,2,2012-04-02,12,2.297
2012,4,2,2012-04-02,13,1.347
2012,4,2,2012-04-02,14,1.559
2012,4,2,2012-04-02,15,1.265
2012,4,2,2012-04-02,16,1.302
2012,4,2,2012-04-02,17,1.223
2012,4,2,2012-04-02,18,1.419
2012,4,2,2012-04-02,19,1.255
2012,4,2,2012-04-02,20,0.99
2012,4,2,2012-04-02,21,1.534
2012,4,2,2012-04-02,22,1.496
2012,4,2,2012-04-02,23,1.738
2012,4,3,2012-04-03,0,1.018
2012,4,3,2012-04-03,1,1.344
2012,4,3,2012-04-03,2,0.727
2012,4,3,2012-04-03,3,1.251
2012,4,3,2012-04-03,4,0.605
2012,4,3,2012-04-03,5,0.872
2012,4,3,2012-04-03,6,0.989
2012,4,3,2012-04-03,7,1.539
2012,4,3,2012-04-03,8,0.824
2012,4,3,2012-04-03,9,1.645
2012,4,3,2012-04-03,10,2.9
2012,4,3,2012-04-03,11,0.92
2012,4,3,2012-04-03,12,0.855
2012,4,3,2012-04-03,13,2.289
2012,4,3,2012-04-03,14,1.551
2012,4,3,2012-04-03,15,1.279
2012,4,3,2012-04-03,16,1.07
2012,4,3,2012-04-03,17,0.735
2012,4,3,2012-04-03,18,1.267
2012,4,3,2012-04-03,19,1.182
2012,4,3,2012-04-03,20,0.991
2012,4,3,2012-04-03,21,1.336
2012,4,3,2012-04-03,22,1.215
2012,4,3,2012-04-03,23,1.441
2012,4,4,2012-04-04,0,1.515
2012,4,4,2012-04-04,1,0.743
2012,4,4,2012-04-04,2,1.284
2012,4,4,2012-04-04,3,1.401
2012,4,4,2012-04-04,4,1.395
2012,4,4,2012-04-04,5,1.455
2012,4,4,2012-04-04,6,1.738
2012,4,4,2012-04-04,7,2.905
2012,4,4,2012-04-04,8,2.359
2012,4,4,2012-04-04,9,2.894
2012,4,4,2012-04-04,10,1.558
2012,4,4,2012-04-04,11,1.678
2012,4,4,2012-04-04,12,1.757
2012,4,4,2012-04-04,13,1.845
2012,4,4,2012-04-04,14,1.687
2012,4,4,2012-04-04,15,1.282
2012,4,4,2012-04-04,16,1.412
2012,4,4,2012-04-04,17,1.51
2012,4,4,2012-04-04,18,1.44
2012,4,4,2012-04-04,19,1.4
2012,4,4,2012-04-04,20,1.365
2012,4,4,2012-04-04,21,2.055
2012,4,4,2012-04-04,22,1.461
2012,4,4,2012-04-04,23,1.406
2012,4,5,2012-04-05,0,0.709
2012,4,5,2012-04-05,1,1.387
2012,4,5,2012-04-05,2,0.719
2012,4,5,2012-04-05,3,1.255
2012,4,5,2012-04-05,4,0.822
2012,4,5,2012-04-05,5,0.591
2012,4,5,2012-04-05,6,0.934
2012,4,5,2012-04-05,7,1.734
2012,4,5,2012-04-05,8,3.576
2012,4,5,2012-04-05,9,0.76
2012,4,5,2012-04-05,10,2.147
2012,4,5,2012-04-05,11,1.746
2012,4,5,2012-04-05,12,3.332
2012,4,5,2012-04-05,13,1.872
2012,4,5,2012-04-05,14,1.256
2012,4,5,2012-04-05,15,1.154
2012,4,5,2012-04-05,16,1.032
2012,4,5,2012-04-05,17,1.629
2012,4,5,2012-04-05,18,1.631
2012,4,5,2012-04-05,19,1.035
2012,4,5,2012-04-05,20,1.69
2012,4,5,2012-04-05,21,1.719
2012,4,5,2012-04-05,22,1.824
