year,month,day,date,hour,consumption
2012,4,1,2012-04-01,15,0
2012,4,1,2012-04-01,16,0
2012,4,1,2012-04-01,17,0
2012,4,1,2012-04-01,18,0
2012,4,1,2012-04-01,19,25
2012,4,1,2012-04-01,20,0
2012,4,1,2012-04-01,21,0
2012,4,1,2012-04-01,22,0
2012,4,1,2012-04-01,23,175
2012,4,2,2012-04-02,0,0
2012,4,2,2012-04-02,1,25
2012,4,2,2012-04-02,2,0
2012,4,2,2012-04-02,3,75
2012,4,2,2012-04-02,4,100
2012,4,2,2012-04-02,5,125
2012,4,2,2012-04-02,6,0
2012,4,2,2012-04-02,7,325
2012,4,2,2012-04-02,8,50
2012,4,2,2012-04-02,9,475
2012,4,2,2012-04-02,10,425
2012,4,2,2012-04-02,11,650
2012,4,2,2012-04-02,12,250
2012,4,2,2012-04-02,13,25
2012,4,2,2012-04-02,14,0
2012,4,2,2012-04-02,15,0
2012,4,2,2012-04-02,16,0
2012,4,2,2012-04-02,17,0
2012,4,2,2012-04-02,18,0
2012,4,2,2012-04-02,19,0
2012,4,2,2012-04-02,20,0
2012,4,2,2012-04-02,21,75
2012,4,2,2012-04-02,22,0
2012,4,2,2012-04-02,23,75
2012,4,3,2012-04-03,0,75
2012,4,3,2012-04-03,1,275
2012,4,3,2012-04-03,2,75
2012,4,3,2012-04-03,3,0
2012,4,3,2012-04-03,4,0
2012,4,3,2012-04-03,5,0
2012,4,3,2012-04-03,6,50
2012,4,3,2012-04-03,7,50
2012,4,3,2012-04-03,8,250
2012,4,3,2012-04-03,9,75
2012,4,3,2012-04-03,10,300
2012,4,3,2012-04-03,11,375
2012,4,3,2012-04-03,12,550
2012,4,3,2012-04-03,13,0
2012,4,3,2012-04-03,14,75
2012,4,3,2012-04-03,15,0
2012,4,3,2012-04-03,16,0
2012,4,3,2012-04-03,17,0
2012,4,3,2012-04-03,18,0
2012,4,3,2012-04-03,19,0
2012,4,3,2012-04-03,20,0
2012,4,3,2012-04-03,21,50
2012,4,3,2012-04-03,22,0
2012,4,3,2012-04-03,23,50
2012,4,4,2012-04-04,0,50
2012,4,4,2012-04-04,1,0
2012,4,4,2012-04-04,2,0
2012,4,4,2012-04-04,3,0
2012,4,4,2012-04-04,4,0
2012,4,4,2012-04-04,5,0
2012,4,4,2012-04-04,6,75
2012,4,4,2012-04-04,7,400
2012,4,4,2012-04-04,8,50
2012,4,4,2012-04-04,9,500
2012,4,4,2012-04-04,10,125
2012,4,4,2012-04-04,11,750
2012,4,4,2012-04-04,12,0
2012,4,4,2012-04-04,13,0
2012,4,4,2012-04-04,14,350
2012,4,4,2012-04-04,15,0
2012,4,4,2012-04-04,16,0
2012,4,4,2012-04-04,17,0
2012,4,4,2012-04-04,18,0
2012,4,4,2012-04-04,19,0
2012,4,4,2012-04-04,20,0
2012,4,4,2012-04-04,21,50
2012,4,4,2012-04-04,22,0
2012,4,4,2012-04-04,23,0
2012,4,5,2012-04-05,0,50
2012,4,5,2012-04-05,1,125
2012,4,5,2012-04-05,2,75
2012,4,5,2012-04-05,3,0
2012,4,5,2012-04-05,4,0
2012,4,5,2012-04-05,5,0
2012,4,5,2012-04-05,6,50
2012,4,5,2012-04-05,7,175
2012,4,5,2012-04-05,8,100
2012,4,5,2012-04-05,9,100
2012,4,5,2012-04-05,10,275
2012,4,5,2012-04-05,11,300
2012,4,5,2012-04-05,12,700
2012,4,5,2012-04-05,13,325
2012,4,5,2012-04-05,14,0
2012,4,5,2012-04-05,15,0
2012,4,5,2012-04-05,16,0
2012,4,5,2012-04-05,17,0
2012,4,5,2012-04-05,18,0
2012,4,5,2012-04-05,19,0
2012,4,5,2012-04-05,20,0
2012,4,5,2012-04-05,21,50
2012,4,5,2012-04-05,22,0
