year,month,day,date,consumption
2012,4,1,2012-04-01,49.204999999999984
2012,4,2,2012-04-02,492.050000000001
2012,4,3,2012-04-03,404.99500000000074
2012,4,4,2012-04-04,374.7150000000005
2012,4,5,2012-04-05,408.78000000000077
2012,4,6,2012-04-06,374.71500000000026
2012,4,7,2012-04-07,352.0050000000004
2012,4,8,2012-04-08,200.60499999999988
2012,4,9,2012-04-09,234.66999999999985
2012,4,10,2012-04-10,401.2100000000007
2012,4,11,2012-04-11,503.405000000001
2012,4,12,2012-04-12,420.1350000000007
2012,4,13,2012-04-13,325.5100000000002
2012,4,14,2012-04-14,431.4900000000008
2012,4,15,2012-04-15,264.9499999999999
2012,4,16,2012-04-16,499.6200000000011
2012,4,17,2012-04-17,367.1450000000005
2012,4,18,2012-04-18,333.08000000000027
2012,4,19,2012-04-19,457.9850000000008
2012,4,20,2012-04-20,306.58500000000015
2012,4,21,2012-04-21,363.3600000000002
2012,4,22,2012-04-22,431.4900000000005
2012,4,23,2012-04-23,495.8350000000008
2012,4,24,2012-04-24,480.69500000000113
2012,4,25,2012-04-25,352.0050000000004
2012,4,26,2012-04-26,317.94000000000017
2012,4,27,2012-04-27,359.5750000000004
2012,4,28,2012-04-28,359.5750000000004
2012,4,29,2012-04-29,510.97500000000076
2012,4,30,2012-04-30,253.59499999999986
2012,5,1,2012-05-01,692.6549999999994
2012,5,2,2012-05-02,98.40999999999995
2012,5,3,2012-05-03,117.33499999999992
2012,5,4,2012-05-04,128.6899999999999
2012,5,5,2012-05-05,117.33499999999992
2012,5,6,2012-05-06,113.54999999999993
2012,5,7,2012-05-07,113.54999999999993
2012,5,8,2012-05-08,132.4749999999999
2012,5,9,2012-05-09,522.3300000000012
2012,5,10,2012-05-10,465.5550000000009
2012,5,11,2012-05-11,469.34000000000106
2012,5,12,2012-05-12,336.86500000000035
2012,5,13,2012-05-13,431.49000000000075
2012,5,14,2012-05-14,370.93000000000035
2012,5,15,2012-05-15,344.43500000000023
2012,5,16,2012-05-16,408.78000000000065
2012,5,17,2012-05-17,552.6100000000008
2012,5,18,2012-05-18,412.56500000000074
2012,5,19,2012-05-19,514.760000000001
2012,5,20,2012-05-20,499.62000000000126
2012,5,21,2012-05-21,639.66499999999985
2012,5,22,2012-05-22,533.685000000001
2012,5,23,2012-05-23,590.4600000000007
2012,5,24,2012-05-24,503.40500000000117
2012,5,25,2012-05-25,609.3850000000002
2012,5,26,2012-05-26,556.396000000001
2012,5,27,2012-05-27,431.49000000000075
2012,5,28,2012-05-28,575.3200000000007
2012,5,29,2012-05-29,314.1550000000001
2012,5,30,2012-05-30,389.85500000000064
2012,5,31,2012-05-31,336.8650000000003
2012,6,1,2012-06-01,374.7150000000006
2012,6,2,2012-06-02,416.35000000000036
2012,6,3,2012-06-03,389.8550000000005
2012,6,4,2012-06-04,563.9650000000007
2012,6,5,2012-06-05,412.56500000000074
2012,6,6,2012-06-06,442.84500000000094
2012,6,7,2012-06-07,480.6950000000007
2012,6,8,2012-06-08,484.48000000000104
2012,6,9,2012-06-09,529.9000000000011
2012,6,10,2012-06-10,249.80999999999983
2012,6,11,2012-06-11,105.97999999999993
2012,6,12,2012-06-12,117.33499999999992
2012,6,13,2012-06-13,124.90499999999992
2012,6,14,2012-06-14,109.76499999999994
2012,6,15,2012-06-15,98.40999999999994
2012,6,16,2012-06-16,124.90499999999994
2012,6,17,2012-06-17,79.48499999999996
2012,6,18,2012-06-18,155.18499999999992
2012,6,19,2012-06-19,499.62000000000114
2012,6,20,2012-06-20,484.4800000000012
2012,6,21,2012-06-21,314.1550000000002
2012,6,22,2012-06-22,450.415000000001
2012,6,23,2012-06-23,582.8900000000009
2012,6,24,2012-06-24,401.2100000000006
2012,6,25,2012-06-25,541.2550000000009
2012,6,26,2012-06-26,310.3700000000002
2012,6,27,2012-06-27,556.3950000000008
2012,6,28,2012-06-28,457.9850000000008
2012,6,29,2012-06-29,510.9750000000011
2012,6,30,2012-06-30,325.51000000000016
2012,7,1,2012-07-01,609.3850000000004
2012,7,2,2012-07-02,329.2950000000003
2012,7,3,2012-07-03,514.7600000000012
2012,7,4,2012-07-04,306.5850000000001
2012,7,5,2012-07-05,374.71500000000054
2012,7,6,2012-07-06,352.0050000000004
2012,7,7,2012-07-07,685.0849999999988
2012,7,8,2012-07-08,155.18499999999992
2012,7,9,2012-07-09,435.2750000000009
2012,7,10,2012-07-10,461.77000000000095
2012,7,11,2012-07-11,386.0700000000005
