year,month,date,day,hour,consumption
2012,4,2012-04-01,1,15,7.57
2012,4,2012-04-01,1,16,0
2012,4,2012-04-01,1,17,0
2012,4,2012-04-01,1,18,0
2012,4,2012-04-01,1,19,3.785
2012,4,2012-04-01,1,20,0
2012,4,2012-04-01,1,21,0
2012,4,2012-04-01,1,22,7.57
2012,4,2012-04-01,1,23,30.28
2012,4,2012-04-02,2,0,11.355
2012,4,2012-04-02,2,1,3.785
2012,4,2012-04-02,2,2,7.57
2012,4,2012-04-02,2,3,18.925
2012,4,2012-04-02,2,4,11.355
2012,4,2012-04-02,2,5,60.55999999999999
2012,4,2012-04-02,2,6,37.849999999999994
2012,4,2012-04-02,2,7,45.41999999999999
2012,4,2012-04-02,2,8,11.355
2012,4,2012-04-02,2,9,49.204999999999984
2012,4,2012-04-02,2,10,71.91499999999998
2012,4,2012-04-02,2,11,79.48499999999996
2012,4,2012-04-02,2,12,30.28
2012,4,2012-04-02,2,13,3.785
2012,4,2012-04-02,2,14,11.355
2012,4,2012-04-02,2,15,0
2012,4,2012-04-02,2,16,0
2012,4,2012-04-02,2,17,0
2012,4,2012-04-02,2,18,0
2012,4,2012-04-02,2,19,0
2012,4,2012-04-02,2,20,0
2012,4,2012-04-02,2,21,15.14
2012,4,2012-04-02,2,22,7.57
2012,4,2012-04-02,2,23,15.14
2012,4,2012-04-03,3,0,11.355
2012,4,2012-04-03,3,1,37.849999999999994
2012,4,2012-04-03,3,2,37.849999999999994
2012,4,2012-04-03,3,3,22.71
2012,4,2012-04-03,3,4,3.785
2012,4,2012-04-03,3,5,0
2012,4,2012-04-03,3,6,11.355
2012,4,2012-04-03,3,7,15.14
2012,4,2012-04-03,3,8,37.849999999999994
2012,4,2012-04-03,3,9,15.14
2012,4,2012-04-03,3,10,45.42
2012,4,2012-04-03,3,11,49.204999999999984
2012,4,2012-04-03,3,12,60.559999999999974
2012,4,2012-04-03,3,13,0
2012,4,2012-04-03,3,14,26.495
2012,4,2012-04-03,3,15,3.785
2012,4,2012-04-03,3,16,0
2012,4,2012-04-03,3,17,0
2012,4,2012-04-03,3,18,0
2012,4,2012-04-03,3,19,0
2012,4,2012-04-03,3,20,0
2012,4,2012-04-03,3,21,11.355
2012,4,2012-04-03,3,22,0
2012,4,2012-04-03,3,23,15.14
2012,4,2012-04-04,4,0,3.785
2012,4,2012-04-04,4,1,7.57
2012,4,2012-04-04,4,2,0
2012,4,2012-04-04,4,3,3.785
2012,4,2012-04-04,4,4,0
2012,4,2012-04-04,4,5,3.785
2012,4,2012-04-04,4,6,15.14
2012,4,2012-04-04,4,7,45.41999999999999
2012,4,2012-04-04,4,8,22.71
2012,4,2012-04-04,4,9,64.345
2012,4,2012-04-04,4,10,30.28
2012,4,2012-04-04,4,11,90.83999999999995
2012,4,2012-04-04,4,12,3.785
2012,4,2012-04-04,4,13,0
2012,4,2012-04-04,4,14,56.77499999999998
2012,4,2012-04-04,4,15,3.785
2012,4,2012-04-04,4,16,3.785
2012,4,2012-04-04,4,17,0
2012,4,2012-04-04,4,18,0
2012,4,2012-04-04,4,19,0
2012,4,2012-04-04,4,20,0
2012,4,2012-04-04,4,21,15.14
2012,4,2012-04-04,4,22,3.785
2012,4,2012-04-04,4,23,0
2012,4,2012-04-05,5,0,15.14
2012,4,2012-04-05,5,1,11.355
2012,4,2012-04-05,5,2,26.495
2012,4,2012-04-05,5,3,37.849999999999994
2012,4,2012-04-05,5,4,0
2012,4,2012-04-05,5,5,0
2012,4,2012-04-05,5,6,7.57
2012,4,2012-04-05,5,7,30.28
2012,4,2012-04-05,5,8,34.065
2012,4,2012-04-05,5,9,11.355
2012,4,2012-04-05,5,10,37.85
2012,4,2012-04-05,5,11,45.41999999999999
2012,4,2012-04-05,5,12,79.48499999999996
2012,4,2012-04-05,5,13,34.065
2012,4,2012-04-05,5,14,15.14
2012,4,2012-04-05,5,15,0
2012,4,2012-04-05,5,16,0
2012,4,2012-04-05,5,17,0
2012,4,2012-04-05,5,18,0
2012,4,2012-04-05,5,19,0
2012,4,2012-04-05,5,20,0
2012,4,2012-04-05,5,21,15.14
2012,4,2012-04-05,5,22,3.785
2012,4,2012-04-05,5,23,3.785
2012,4,2012-04-06,6,0,22.71
2012,4,2012-04-06,6,1,15.14
2012,4,2012-04-06,6,2,3.785
2012,4,2012-04-06,6,3,11.355
2012,4,2012-04-06,6,4,0
2012,4,2012-04-06,6,5,3.785
2012,4,2012-04-06,6,6,37.849999999999994
2012,4,2012-04-06,6,7,11.355
2012,4,2012-04-06,6,8,3.785
2012,4,2012-04-06,6,9,56.775000000000006
2012,4,2012-04-06,6,10,71.91499999999996
2012,4,2012-04-06,6,11,90.839999999999975
2012,4,2012-04-06,6,12,7.57
2012,4,2012-04-06,6,13,7.57
2012,4,2012-04-06,6,14,0
2012,4,2012-04-06,6,15,0
2012,4,2012-04-06,6,16,0
2012,4,2012-04-06,6,17,0
2012,4,2012-04-06,6,18,0
2012,4,2012-04-06,6,19,0
2012,4,2012-04-06,6,20,0
2012,4,2012-04-06,6,21,3.785
2012,4,2012-04-06,6,22,3.785
2012,4,2012-04-06,6,23,22.71
2012,4,2012-04-07,7,0,11.355
2012,4,2012-04-07,7,1,15.14
2012,4,2012-04-07,7,2,0
2012,4,2012-04-07,7,3,3.785
2012,4,2012-04-07,7,4,3.785
2012,4,2012-04-07,7,5,0
2012,4,2012-04-07,7,6,7.57
2012,4,2012-04-07,7,7,60.559999999999974
2012,4,2012-04-07,7,8,18.925
2012,4,2012-04-07,7,9,87.05499999999998
2012,4,2012-04-07,7,10,49.204999999999984
2012,4,2012-04-07,7,11,0
2012,4,2012-04-07,7,12,49.204999999999984
2012,4,2012-04-07,7,13,0
2012,4,2012-04-07,7,14,7.57
2012,4,2012-04-07,7,15,0
2012,4,2012-04-07,7,16,0
2012,4,2012-04-07,7,17,0
2012,4,2012-04-07,7,18,0
2012,4,2012-04-07,7,19,0
2012,4,2012-04-07,7,20,0
2012,4,2012-04-07,7,21,0
2012,4,2012-04-07,7,22,18.925
2012,4,2012-04-07,7,23,18.925
2012,4,2012-04-08,8,0,3.785
2012,4,2012-04-08,8,1,3.785
2012,4,2012-04-08,8,2,0
2012,4,2012-04-08,8,3,0
2012,4,2012-04-08,8,4,0
2012,4,2012-04-08,8,5,3.785
2012,4,2012-04-08,8,6,7.57
2012,4,2012-04-08,8,7,3.785
2012,4,2012-04-08,8,8,7.57
2012,4,2012-04-08,8,9,15.14
2012,4,2012-04-08,8,10,56.77499999999998
2012,4,2012-04-08,8,11,68.12999999999997
